State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±)
California,Contra Costa County,Metro area,6.8%,0.4%
Indiana,Tipton County,Rural area,6.8%,2.1%
Minnesota,Fillmore County,Metro area,6.8%,1.1%
Kansas,Leavenworth County,Metro area,6.8%,1.2%
Missouri,Christian County,Metro area,6.7%,1.2%
Texas,Hansford County,Rural area,6.7%,5.3%
Indiana,Martin County,Rural area,6.7%,2.5%
Florida,Monroe County,Small town,6.7%,1.1%
Indiana,Clinton County,Small town,6.7%,1.6%
Maryland,Frederick County,Metro area,6.7%,0.8%
Georgia,Pike County,Metro area,6.7%,1.9%
Pennsylvania,Cumberland County,Metro area,6.7%,0.7%
Utah,Sanpete County,Rural area,6.7%,1.5%
North Dakota,Stark County,Small town,6.7%,2.1%
Texas,Ellis County,Metro area,6.7%,0.8%
California,Amador County,Rural area,6.7%,1.7%
Alabama,Baldwin County,Metro area,6.7%,0.7%
Virginia,Mathews County,Metro area,6.7%,3.4%
Minnesota,Grant County,Rural area,6.7%,1.5%
Maryland,Montgomery County,Metro area,6.7%,0.4%
Indiana,Porter County,Metro area,6.7%,0.9%
Arkansas,Washington County,Metro area,6.7%,0.9%
South Dakota,Brown County,Small town,6.7%,1.6%
Missouri,Atchison County,Rural area,6.7%,1.7%
Iowa,Franklin County,Rural area,6.6%,2.3%
Ohio,Wood County,Metro area,6.6%,0.8%
Pennsylvania,Centre County,Metro area,6.6%,0.8%
Illinois,Woodford County,Metro area,6.6%,1.6%
North Carolina,Chatham County,Metro area,6.6%,1.2%
Wisconsin,Dane County,Metro area,6.6%,0.4%
Wisconsin,Outagamie County,Metro area,6.6%,0.7%
Connecticut,Tolland County,Metro area,6.6%,0.9%
New Jersey,Middlesex County,Metro area,6.6%,0.3%
Iowa,Cherokee County,Rural area,6.6%,2.1%
Iowa,Kossuth County,Rural area,6.6%,1.7%
Virginia,Rappahannock County,Metro area,6.6%,4.0%
Indiana,Monroe County,Metro area,6.6%,1.0%
Texas,Blanco County,Rural area,6.6%,3.0%
Minnesota,Otter Tail County,Small town,6.6%,1.0%
Texas,Moore County,Small town,6.6%,2.9%
Virginia,Chesapeake city,Metro area,6.6%,0.7%
Minnesota,Lac qui Parle County,Rural area,6.6%,1.2%
Nebraska,Howard County,Metro area,6.6%,2.6%
Colorado,Arapahoe County,Metro area,6.6%,0.4%
Virginia,Giles County,Metro area,6.6%,1.8%
Virginia,King George County,Rural area,6.6%,1.8%
New York,Greene County,Rural area,6.6%,1.3%
Indiana,Marshall County,Small town,6.6%,1.2%
Wyoming,Carbon County,Rural area,6.6%,2.4%
Indiana,Tippecanoe County,Metro area,6.6%,0.7%
Michigan,Allegan County,Small town,6.6%,0.8%
Nebraska,Webster County,Rural area,6.6%,2.1%
Minnesota,Rice County,Small town,6.6%,1.3%
Nebraska,Pawnee County,Rural area,6.5%,2.6%
South Dakota,Meade County,Metro area,6.5%,2.2%
Texas,Upton County,Rural area,6.5%,3.6%
Rhode Island,Bristol County,Metro area,6.5%,1.3%
Montana,Liberty County,Rural area,6.5%,4.5%
Kansas,Butler County,Metro area,6.5%,1.5%
North Dakota,Stutsman County,Small town,6.5%,1.6%
Indiana,Shelby County,Metro area,6.5%,1.1%
North Dakota,Foster County,Rural area,6.5%,3.3%
Indiana,Putnam County,Metro area,6.5%,1.3%
New Hampshire,Hillsborough County,Metro area,6.5%,0.5%
Texas,Hartley County,Rural area,6.5%,4.4%
Iowa,Davis County,Rural area,6.5%,2.2%
North Dakota,Cass County,Metro area,6.5%,0.8%
Georgia,Gwinnett County,Metro area,6.5%,0.4%
Iowa,Johnson County,Metro area,6.5%,0.7%
Indiana,Noble County,Small town,6.5%,1.3%
Texas,Hays County,Metro area,6.5%,1.0%
Nebraska,Valley County,Rural area,6.5%,2.9%
Iowa,Madison County,Metro area,6.5%,2.2%
Wyoming,Niobrara County,Rural area,6.5%,3.7%
Kentucky,Woodford County,Metro area,6.5%,1.7%
Indiana,Adams County,Small town,6.5%,1.8%
Texas,Montgomery County,Metro area,6.5%,0.5%
Oklahoma,Kingfisher County,Rural area,6.5%,2.3%
Wyoming,Natrona County,Metro area,6.5%,1.1%
Rhode Island,Washington County,Metro area,6.5%,1.0%
Indiana,Steuben County,Small town,6.5%,1.6%
Virginia,Orange County,Rural area,6.5%,1.4%
Kentucky,Campbell County,Metro area,6.4%,1.0%
South Carolina,Charleston County,Metro area,6.4%,0.6%
Nebraska,Boyd County,Rural area,6.4%,2.1%
Indiana,Gibson County,Rural area,6.4%,1.4%
North Carolina,Watauga County,Small town,6.4%,1.3%
North Dakota,Dickey County,Rural area,6.4%,2.5%
Florida,Martin County,Metro area,6.4%,0.6%
Texas,Hemphill County,Rural area,6.4%,4.0%
Minnesota,Steele County,Small town,6.4%,1.1%
Arkansas,Saline County,Metro area,6.4%,0.9%
Wisconsin,Oneida County,Rural area,6.4%,1.1%
Minnesota,Cook County,Rural area,6.4%,1.9%
Nebraska,Hitchcock County,Rural area,6.4%,2.0%
Iowa,Allamakee County,Rural area,6.4%,1.7%
Nebraska,Platte County,Small town,6.4%,1.5%
Wyoming,Converse County,Rural area,6.4%,2.3%
Nebraska,Cass County,Metro area,6.4%,1.3%
Michigan,Clinton County,Metro area,6.4%,0.9%
Iowa,Taylor County,Rural area,6.4%,1.7%
Nebraska,Nemaha County,Rural area,6.4%,2.7%
Kansas,Ellis County,Small town,6.4%,2.0%
Kansas,Decatur County,Rural area,6.4%,3.4%
Texas,Fort Bend County,Metro area,6.4%,0.5%
Missouri,Knox County,Rural area,6.4%,2.3%
Missouri,Mercer County,Rural area,6.4%,3.1%
Kansas,Stevens County,Rural area,6.3%,4.0%
Texas,Travis County,Metro area,6.3%,0.4%
Oklahoma,Woods County,Rural area,6.3%,2.0%
Massachusetts,Dukes County,Small town,6.3%,2.6%
Nebraska,Sioux County,Small town,6.3%,4.3%
North Carolina,Currituck County,Metro area,6.3%,1.7%
Mississippi,Madison County,Metro area,6.3%,1.0%
California,Orange County,Metro area,6.3%,0.2%
Utah,Juab County,Metro area,6.3%,2.5%
South Dakota,McPherson County,Rural area,6.3%,4.1%
Minnesota,Anoka County,Metro area,6.3%,0.5%
Missouri,Holt County,Rural area,6.3%,1.6%
Pennsylvania,Bucks County,Metro area,6.3%,0.4%
Texas,Randall County,Metro area,6.3%,0.8%
Minnesota,Pennington County,Rural area,6.3%,1.7%
Virginia,Floyd County,Rural area,6.3%,2.1%
Minnesota,Morrison County,Rural area,6.3%,1.1%
North Dakota,Bottineau County,Rural area,6.3%,1.9%
Minnesota,Jackson County,Rural area,6.3%,1.6%
Illinois,DuPage County,Metro area,6.2%,0.3%
New York,Saratoga County,Metro area,6.2%,0.6%
Illinois,McHenry County,Metro area,6.2%,0.6%
North Dakota,Ward County,Small town,6.2%,1.2%
Kentucky,Spencer County,Metro area,6.2%,1.9%
Virginia,Spotsylvania County,Metro area,6.2%,1.0%
Kansas,Norton County,Rural area,6.2%,3.5%
Nebraska,Red Willow County,Rural area,6.2%,2.4%
South Dakota,Union County,Metro area,6.2%,2.0%
Texas,Irion County,Metro area,6.2%,4.5%
Colorado,Gilpin County,Metro area,6.2%,3.6%
Iowa,Benton County,Metro area,6.2%,1.3%
Indiana,Kosciusko County,Small town,6.2%,1.1%
Kansas,Graham County,Rural area,6.2%,3.1%
Alaska,Aleutians West Census Area,Rural area,6.2%,1.8%
Texas,Kent County,Rural area,6.2%,5.6%
Indiana,Warren County,Metro area,6.2%,2.1%
Indiana,Jasper County,Metro area,6.1%,1.4%
Texas,Scurry County,Small town,6.1%,2.1%
Virginia,Augusta County,Metro area,6.1%,1.2%
Oklahoma,Texas County,Small town,6.1%,2.5%
Ohio,Medina County,Metro area,6.1%,0.7%
Iowa,Delaware County,Rural area,6.1%,1.9%
Utah,Daggett County,Rural area,6.1%,5.9%
Minnesota,Chippewa County,Rural area,6.1%,1.9%
Utah,Washington County,Metro area,6.1%,0.9%
Kansas,Barber County,Rural area,6.1%,1.8%
Virginia,Bedford County,Metro area,6.1%,1.0%
Idaho,Idaho County,Rural area,6.1%,1.9%
New Jersey,Ocean County,Metro area,6.1%,0.4%
Michigan,Keweenaw County,Small town,6.1%,2.8%
Minnesota,Big Stone County,Rural area,6.1%,1.6%
Minnesota,Le Sueur County,Metro area,6.0%,1.3%
Virginia,Bath County,Rural area,6.0%,3.2%
Wisconsin,Calumet County,Metro area,6.0%,0.9%
Kansas,Rush County,Rural area,6.0%,2.6%
Texas,Shackelford County,Rural area,6.0%,3.5%
Maryland,Anne Arundel County,Metro area,6.0%,0.5%
North Carolina,Wake County,Metro area,6.0%,0.4%
Indiana,Ohio County,Metro area,6.0%,2.5%
New Hampshire,Cheshire County,Small town,6.0%,1.0%
Iowa,Dallas County,Metro area,6.0%,1.1%
Texas,Fayette County,Rural area,6.0%,1.8%
California,Sonoma County,Metro area,5.9%,0.4%
Wyoming,Sweetwater County,Small town,5.9%,1.4%
Indiana,Brown County,Metro area,5.9%,2.2%
Idaho,Ada County,Metro area,5.9%,0.5%
Missouri,Andrew County,Metro area,5.9%,1.9%
North Carolina,Orange County,Metro area,5.9%,0.7%
Kansas,Chase County,Small town,5.9%,2.6%
Wyoming,Laramie County,Metro area,5.9%,1.0%
Illinois,Piatt County,Metro area,5.9%,1.6%
Minnesota,Lake County,Metro area,5.9%,1.8%
Maryland,Calvert County,Metro area,5.9%,1.1%
South Dakota,Haakon County,Rural area,5.9%,3.9%
Kansas,Cloud County,Rural area,5.9%,2.5%
South Dakota,Bon Homme County,Rural area,5.9%,1.8%
Kansas,Meade County,Rural area,5.9%,2.6%
Utah,Cache County,Metro area,5.9%,0.9%
North Dakota,Burleigh County,Metro area,5.9%,1.2%
Idaho,Latah County,Small town,5.9%,1.4%
Georgia,Cobb County,Metro area,5.9%,0.5%
Idaho,Power County,Metro area,5.9%,4.0%
New York,Suffolk County,Metro area,5.8%,0.3%
Arkansas,Carroll County,Rural area,5.8%,1.7%
South Dakota,Aurora County,Rural area,5.8%,2.6%
Virginia,Chesterfield County,Metro area,5.8%,0.6%
Texas,Midland County,Metro area,5.8%,1.0%
Georgia,Columbia County,Metro area,5.8%,1.2%
California,El Dorado County,Metro area,5.8%,0.7%
Nebraska,Merrick County,Metro area,5.8%,2.0%
Kansas,Marshall County,Rural area,5.8%,1.8%
South Dakota,Yankton County,Small town,5.8%,1.5%
Kansas,Russell County,Rural area,5.8%,2.6%
Minnesota,Roseau County,Rural area,5.8%,1.6%
Kansas,Dickinson County,Rural area,5.8%,1.7%
Missouri,Ralls County,Small town,5.8%,1.9%
Colorado,Cheyenne County,Rural area,5.8%,3.6%
Virginia,Roanoke County,Metro area,5.7%,1.0%
Texas,Edwards County,Rural area,5.7%,4.4%
Virginia,Virginia Beach city,Metro area,5.7%,0.5%
Florida,Sarasota County,Metro area,5.7%,0.4%
South Dakota,Sully County,Rural area,5.7%,3.6%
Iowa,Wright County,Rural area,5.7%,2.0%
Kansas,Harvey County,Metro area,5.7%,1.5%
Indiana,White County,Rural area,5.7%,1.8%
Nebraska,Dundy County,Rural area,5.7%,2.9%
Alaska,Fairbanks North Star Borough,Metro area,5.7%,1.1%
Kansas,Ellsworth County,Rural area,5.7%,1.4%
Utah,Salt Lake County,Metro area,5.7%,0.3%
North Dakota,Barnes County,Rural area,5.7%,1.4%
Kansas,Kingman County,Rural area,5.7%,2.1%
South Dakota,Campbell County,Rural area,5.7%,3.0%
Wyoming,Uinta County,Small town,5.7%,1.7%
Minnesota,Goodhue County,Small town,5.6%,1.0%
Minnesota,Lake of the Woods County,Rural area,5.6%,3.1%
Nebraska,Sarpy County,Metro area,5.6%,0.8%
Michigan,Ottawa County,Metro area,5.6%,0.6%
Minnesota,Chisago County,Metro area,5.6%,1.2%
Iowa,Mitchell County,Rural area,5.6%,1.9%
Pennsylvania,Montgomery County,Metro area,5.6%,0.3%
Iowa,Iowa County,Rural area,5.6%,1.7%
Texas,Parmer County,Rural area,5.6%,2.5%
Idaho,Blaine County,Small town,5.6%,2.7%
North Dakota,Kidder County,Rural area,5.6%,2.5%
New York,Hamilton County,Rural area,5.6%,2.1%
Texas,Hood County,Small town,5.6%,1.2%
Texas,Parker County,Metro area,5.5%,0.7%
South Dakota,Perkins County,Rural area,5.5%,2.9%
South Dakota,Hand County,Rural area,5.5%,2.4%
South Dakota,Jones County,Rural area,5.5%,4.9%
North Dakota,Towner County,Rural area,5.5%,2.9%
South Dakota,Marshall County,Rural area,5.5%,2.6%
Iowa,Cedar County,Rural area,5.5%,1.2%
Indiana,Union County,Metro area,5.5%,2.7%
Nebraska,Antelope County,Rural area,5.5%,1.4%
Kansas,Marion County,Rural area,5.5%,1.9%
Indiana,Whitley County,Metro area,5.5%,1.8%
Maryland,Carroll County,Metro area,5.5%,0.6%
Kansas,Douglas County,Metro area,5.5%,1.0%
North Dakota,Bowman County,Rural area,5.5%,2.9%
Colorado,Larimer County,Metro area,5.5%,0.5%
North Dakota,Sheridan County,Rural area,5.4%,2.8%
Montana,Stillwater County,Metro area,5.4%,1.9%
Kansas,Kearny County,Small town,5.4%,3.5%
California,Nevada County,Small town,5.4%,0.9%
Montana,Richland County,Rural area,5.4%,1.8%
North Dakota,Walsh County,Rural area,5.4%,1.6%
North Dakota,Sargent County,Rural area,5.4%,1.6%
Wisconsin,St. Croix County,Metro area,5.4%,0.9%
Nebraska,Cedar County,Rural area,5.4%,1.5%
California,Mono County,Rural area,5.4%,2.9%
Virginia,Goochland County,Metro area,5.4%,1.6%
Missouri,Scotland County,Rural area,5.4%,2.4%
Minnesota,Winona County,Small town,5.4%,1.0%
Indiana,LaGrange County,Rural area,5.4%,1.4%
Indiana,Johnson County,Metro area,5.4%,0.9%
Wisconsin,Kewaunee County,Metro area,5.4%,1.2%
Nebraska,Brown County,Rural area,5.3%,3.0%
Montana,Jefferson County,Small town,5.3%,1.7%
Kansas,Rice County,Rural area,5.3%,1.7%
Kentucky,Boone County,Metro area,5.3%,1.0%
North Dakota,Wells County,Rural area,5.3%,2.0%
Nevada,Douglas County,Small town,5.3%,1.0%
Texas,Menard County,Rural area,5.3%,4.0%
Minnesota,Redwood County,Rural area,5.3%,1.2%
Iowa,Plymouth County,Rural area,5.3%,1.5%
Nebraska,Sherman County,Rural area,5.3%,1.9%
Colorado,Boulder County,Metro area,5.3%,0.5%
Nebraska,Polk County,Rural area,5.3%,1.7%
Nebraska,Greeley County,Rural area,5.3%,1.8%
Maryland,Howard County,Metro area,5.2%,0.6%
Florida,Sumter County,Metro area,5.2%,0.7%
Minnesota,Murray County,Rural area,5.2%,1.8%
Minnesota,Yellow Medicine County,Rural area,5.2%,1.3%
Nebraska,Furnas County,Rural area,5.2%,1.6%
Colorado,Clear Creek County,Metro area,5.2%,2.0%
Iowa,Winneshiek County,Rural area,5.2%,1.5%
Mississippi,Rankin County,Metro area,5.2%,0.9%
South Carolina,Beaufort County,Metro area,5.2%,0.7%
Nebraska,Washington County,Metro area,5.2%,1.5%
Indiana,Wells County,Small town,5.2%,1.2%
Iowa,Grundy County,Metro area,5.2%,1.0%
Utah,Beaver County,Rural area,5.2%,2.5%
Texas,Williamson County,Metro area,5.2%,0.5%
South Dakota,Edmunds County,Small town,5.2%,2.7%
Texas,Mason County,Rural area,5.2%,3.4%
Kansas,Republic County,Rural area,5.2%,1.9%
Nebraska,Kearney County,Small town,5.1%,2.1%
South Dakota,Spink County,Rural area,5.1%,1.9%
Missouri,Putnam County,Rural area,5.1%,2.5%
Kansas,Barton County,Small town,5.1%,1.4%
North Carolina,Dare County,Small town,5.1%,1.3%
North Dakota,Nelson County,Rural area,5.1%,1.9%
Wyoming,Big Horn County,Rural area,5.1%,1.7%
Kansas,Wabaunsee County,Metro area,5.0%,1.6%
Colorado,Lake County,Rural area,5.0%,3.5%
Iowa,Story County,Metro area,5.0%,0.8%
Ohio,Mercer County,Small town,5.0%,1.0%
Kansas,McPherson County,Small town,5.0%,1.2%
Wisconsin,Pierce County,Metro area,5.0%,1.0%
Florida,St. Johns County,Metro area,5.0%,0.6%
Minnesota,Dakota County,Metro area,5.0%,0.4%
Kansas,Jackson County,Metro area,5.0%,1.4%
Colorado,La Plata County,Small town,5.0%,1.0%
South Dakota,Custer County,Rural area,5.0%,2.6%
Nebraska,Seward County,Metro area,5.0%,1.6%
Wisconsin,Washington County,Metro area,5.0%,0.6%
Kansas,Clark County,Rural area,5.0%,2.9%
New Jersey,Burlington County,Metro area,5.0%,0.4%
Minnesota,Wabasha County,Metro area,5.0%,0.9%
North Dakota,Mercer County,Rural area,5.0%,2.1%
Indiana,Franklin County,Metro area,4.9%,1.4%
Minnesota,Brown County,Small town,4.9%,1.2%
Nebraska,Cherry County,Rural area,4.9%,2.2%
Pennsylvania,Chester County,Metro area,4.9%,0.3%
Idaho,Boise County,Metro area,4.9%,2.0%
North Dakota,Morton County,Metro area,4.9%,1.6%
Wyoming,Park County,Rural area,4.9%,1.5%
Iowa,Dickinson County,Small town,4.9%,1.4%
Colorado,Custer County,Rural area,4.9%,2.0%
Nebraska,Hamilton County,Rural area,4.9%,1.6%
Montana,Golden Valley County,Rural area,4.9%,2.2%
New Jersey,Monmouth County,Metro area,4.9%,0.4%
Alabama,Shelby County,Metro area,4.9%,0.6%
Virginia,Frederick County,Metro area,4.9%,1.2%
North Dakota,LaMoure County,Rural area,4.9%,1.7%
Utah,Utah County,Metro area,4.9%,0.4%
Virginia,Montgomery County,Metro area,4.8%,1.0%
California,San Luis Obispo County,Metro area,4.8%,0.5%
New Hampshire,Carroll County,Rural area,4.8%,1.2%
Kansas,Rooks County,Rural area,4.8%,2.1%
South Dakota,Grant County,Rural area,4.8%,2.2%
Colorado,Routt County,Small town,4.8%,2.1%
Iowa,Bremer County,Metro area,4.8%,1.2%
Montana,Wheatland County,Rural area,4.8%,2.6%
Utah,Davis County,Metro area,4.8%,0.6%
Virginia,New Kent County,Metro area,4.8%,1.5%
Montana,Wibaux County,Rural area,4.7%,4.0%
Minnesota,Kittson County,Rural area,4.7%,1.6%
Virginia,Alexandria city,Metro area,4.7%,0.6%
Minnesota,Sibley County,Rural area,4.7%,1.1%
North Dakota,Williams County,Small town,4.7%,1.6%
Virginia,James City County,Metro area,4.7%,1.1%
Minnesota,Marshall County,Rural area,4.7%,1.1%
Nebraska,Logan County,Small town,4.7%,3.7%
South Dakota,Deuel County,Rural area,4.7%,2.0%
Montana,Dawson County,Rural area,4.7%,2.3%
Michigan,Livingston County,Metro area,4.7%,0.6%
New Jersey,Bergen County,Metro area,4.7%,0.3%
Alaska,Yakutat City and Borough,Rural area,4.6%,2.6%
Nebraska,Gosper County,Small town,4.6%,2.7%
Virginia,Prince William County,Metro area,4.6%,0.5%
Minnesota,Scott County,Metro area,4.6%,0.7%
Kansas,Pottawatomie County,Metro area,4.6%,1.6%
Idaho,Jefferson County,Metro area,4.6%,1.2%
Utah,Garfield County,Rural area,4.6%,2.4%
North Dakota,Grant County,Rural area,4.5%,1.5%
Virginia,Fauquier County,Metro area,4.5%,1.0%
Texas,Schleicher County,Rural area,4.5%,3.4%
Wyoming,Campbell County,Small town,4.5%,1.6%
Ohio,Geauga County,Metro area,4.5%,0.9%
Montana,Sheridan County,Rural area,4.5%,2.1%
Mississippi,Lafayette County,Small town,4.5%,1.4%
North Dakota,McIntosh County,Rural area,4.5%,1.4%
Texas,Comal County,Metro area,4.5%,0.8%
Oklahoma,Beaver County,Rural area,4.5%,1.6%
Minnesota,Douglas County,Small town,4.5%,0.9%
Texas,Denton County,Metro area,4.5%,0.4%
Arkansas,Benton County,Metro area,4.5%,0.6%
Alaska,Bristol Bay Borough,Rural area,4.4%,2.4%
Nebraska,Arthur County,Rural area,4.4%,3.8%
California,Santa Clara County,Metro area,4.4%,0.2%
Kansas,Miami County,Metro area,4.4%,1.3%
South Dakota,Stanley County,Small town,4.4%,3.8%
California,Placer County,Metro area,4.4%,0.5%
North Dakota,Traill County,Rural area,4.4%,1.2%
Colorado,Jefferson County,Metro area,4.4%,0.3%
Kansas,Smith County,Rural area,4.4%,1.4%
North Dakota,Slope County,Rural area,4.4%,3.1%
South Dakota,Brookings County,Small town,4.4%,1.1%
Minnesota,Dodge County,Metro area,4.4%,1.0%
Kansas,Hamilton County,Rural area,4.4%,4.1%
Kansas,Clay County,Rural area,4.4%,2.0%
Texas,Crockett County,Rural area,4.3%,5.2%
Washington,San Juan County,Rural area,4.3%,0.9%
Illinois,Monroe County,Metro area,4.3%,1.5%
Kansas,Morris County,Rural area,4.3%,1.5%
California,Napa County,Metro area,4.3%,0.6%
Kansas,Washington County,Rural area,4.3%,1.4%
Ohio,Warren County,Metro area,4.3%,0.7%
Missouri,Osage County,Metro area,4.2%,1.3%
Iowa,Chickasaw County,Rural area,4.2%,1.4%
Oklahoma,Cimarron County,Rural area,4.2%,2.1%
Georgia,Fayette County,Metro area,4.2%,1.0%
Virginia,Stafford County,Metro area,4.2%,0.7%
Kansas,Thomas County,Rural area,4.2%,2.9%
Kansas,Stanton County,Rural area,4.2%,4.5%
Nebraska,Nuckolls County,Rural area,4.2%,1.6%
Nebraska,Harlan County,Rural area,4.2%,1.5%
Virginia,Rockingham County,Metro area,4.2%,0.7%
Nebraska,Wheeler County,Rural area,4.2%,2.6%
Virginia,Hanover County,Metro area,4.1%,0.7%
Minnesota,Wright County,Metro area,4.1%,0.7%
Michigan,Leelanau County,Small town,4.1%,0.9%
Kansas,Lincoln County,Rural area,4.1%,2.0%
Missouri,Platte County,Metro area,4.1%,0.7%
Nebraska,York County,Rural area,4.1%,1.4%
Wisconsin,Waukesha County,Metro area,4.1%,0.3%
Nebraska,Fillmore County,Rural area,4.0%,1.2%
New York,Nassau County,Metro area,4.0%,0.2%
South Dakota,Hyde County,Rural area,4.0%,3.1%
Kansas,Mitchell County,Rural area,4.0%,2.5%
Indiana,Dubois County,Small town,4.0%,1.3%
Minnesota,Washington County,Metro area,4.0%,0.5%
Texas,Carson County,Metro area,4.0%,2.0%
South Dakota,Lake County,Rural area,4.0%,1.6%
Nebraska,Saunders County,Metro area,4.0%,1.2%
Virginia,Fairfax County,Metro area,3.9%,0.3%
Nebraska,Dixon County,Metro area,3.9%,1.5%
Indiana,Boone County,Metro area,3.9%,1.1%
Kansas,Trego County,Rural area,3.9%,2.6%
Kansas,Cheyenne County,Rural area,3.9%,2.3%
Montana,Gallatin County,Small town,3.9%,0.8%
Minnesota,Houston County,Metro area,3.9%,1.0%
Nebraska,Thomas County,Rural area,3.9%,1.3%
Nebraska,Stanton County,Small town,3.9%,1.6%
Ohio,Holmes County,Rural area,3.9%,1.0%
Indiana,Warrick County,Metro area,3.9%,0.9%
Kansas,Greeley County,Rural area,3.9%,2.9%
Virginia,Highland County,Rural area,3.9%,3.0%
Nebraska,Chase County,Rural area,3.8%,2.1%
Montana,Powder River County,Rural area,3.8%,2.9%
Texas,Rockwall County,Metro area,3.8%,1.1%
Nebraska,Rock County,Rural area,3.8%,2.1%
South Dakota,Potter County,Rural area,3.7%,1.8%
Indiana,Hendricks County,Metro area,3.7%,0.8%
North Dakota,Dunn County,Rural area,3.7%,2.1%
New Hampshire,Rockingham County,Metro area,3.7%,0.4%
Wyoming,Albany County,Small town,3.7%,0.9%
Georgia,Cherokee County,Metro area,3.7%,0.5%
Ohio,Delaware County,Metro area,3.7%,0.6%
Minnesota,Carver County,Metro area,3.7%,0.8%
Texas,Gillespie County,Small town,3.7%,1.5%
Kentucky,Oldham County,Metro area,3.6%,1.0%
Kansas,Lane County,Rural area,3.6%,2.7%
Utah,Rich County,Rural area,3.6%,2.5%
North Dakota,Logan County,Rural area,3.6%,1.5%
Texas,King County,Rural area,3.6%,4.7%
California,Marin County,Metro area,3.6%,0.4%
Nebraska,Grant County,Rural area,3.6%,1.9%
Wisconsin,Ozaukee County,Metro area,3.6%,0.8%
Montana,Sweet Grass County,Rural area,3.6%,2.4%
Wyoming,Platte County,Rural area,3.6%,2.0%
Colorado,Eagle County,Small town,3.6%,1.4%
Colorado,Elbert County,Metro area,3.6%,0.9%
Nebraska,Wayne County,Rural area,3.6%,2.3%
Wyoming,Lincoln County,Rural area,3.5%,1.6%
Wyoming,Sheridan County,Small town,3.5%,1.2%
Iowa,Sioux County,Rural area,3.5%,1.2%
Missouri,St. Charles County,Metro area,3.5%,0.3%
Nebraska,Cuming County,Rural area,3.4%,1.3%
California,San Mateo County,Metro area,3.4%,0.3%
Indiana,Carroll County,Metro area,3.4%,1.0%
Iowa,Lyon County,Rural area,3.4%,0.9%
Nebraska,Garfield County,Rural area,3.4%,2.6%
Nebraska,Boone County,Rural area,3.3%,1.2%
Kansas,Hodgeman County,Rural area,3.3%,1.9%
South Dakota,Jerauld County,Small town,3.3%,2.5%
Kansas,Pratt County,Rural area,3.3%,1.5%
North Dakota,Mountrail County,Rural area,3.3%,1.3%
New Jersey,Morris County,Metro area,3.2%,0.4%
Montana,Madison County,Rural area,3.2%,1.4%
Kansas,Jefferson County,Metro area,3.2%,0.9%
Alaska,Denali Borough,Rural area,3.2%,2.8%
Massachusetts,Nantucket County,Rural area,3.2%,2.2%
Minnesota,Sherburne County,Metro area,3.2%,0.7%
Kansas,Stafford County,Rural area,3.2%,1.3%
North Dakota,Hettinger County,Rural area,3.2%,2.0%
New Mexico,Los Alamos County,Small town,3.2%,1.6%
Idaho,Adams County,Rural area,3.1%,1.9%
Georgia,Forsyth County,Metro area,3.1%,0.5%
New York,Putnam County,Metro area,3.1%,0.8%
Nebraska,Colfax County,Rural area,3.1%,2.3%
Virginia,Powhatan County,Metro area,3.1%,1.3%
Virginia,Albemarle County,Metro area,3.1%,0.7%
Texas,Borden County,Rural area,3.1%,3.0%
Indiana,Hancock County,Metro area,3.0%,0.9%
Idaho,Valley County,Rural area,3.0%,1.8%
Texas,Loving County,Small town,3.0%,5.6%
South Dakota,Lincoln County,Metro area,3.0%,1.0%
Kansas,Nemaha County,Rural area,3.0%,1.3%
Texas,Kendall County,Metro area,2.9%,1.4%
Virginia,Loudoun County,Metro area,2.9%,0.4%
Ohio,Union County,Metro area,2.9%,0.7%
South Dakota,Kingsbury County,Rural area,2.9%,1.1%
Idaho,Clark County,Rural area,2.8%,3.5%
North Dakota,Cavalier County,Rural area,2.8%,2.1%
North Dakota,McLean County,Rural area,2.8%,0.8%
Nebraska,Hayes County,Rural area,2.8%,2.8%
Texas,Collin County,Metro area,2.8%,0.2%
Kansas,Sheridan County,Rural area,2.8%,1.9%
Colorado,Summit County,Small town,2.8%,1.5%
New Jersey,Hunterdon County,Metro area,2.7%,0.6%
Colorado,Broomfield County,Metro area,2.7%,0.7%
Virginia,Botetourt County,Metro area,2.6%,0.8%
North Dakota,Oliver County,Metro area,2.6%,1.9%
New Jersey,Sussex County,Metro area,2.6%,0.4%
North Dakota,Griggs County,Rural area,2.6%,1.3%
Wyoming,Weston County,Small town,2.6%,1.9%
New Jersey,Somerset County,Metro area,2.6%,0.4%
Alaska,Skagway Municipality,Rural area,2.6%,1.5%
Kansas,Morton County,Rural area,2.6%,2.2%
Kansas,Haskell County,Rural area,2.6%,1.8%
Nebraska,McPherson County,Small town,2.5%,2.5%
Montana,Garfield County,Rural area,2.5%,1.7%
Virginia,York County,Metro area,2.5%,0.8%
Alaska,Haines Borough,Rural area,2.5%,2.6%
Georgia,Oconee County,Metro area,2.4%,0.9%
Virginia,Arlington County,Metro area,2.4%,0.4%
Virginia,Clarke County,Metro area,2.4%,1.3%
Kansas,Gove County,Rural area,2.4%,1.3%
North Dakota,Adams County,Rural area,2.4%,1.1%
Montana,Treasure County,Rural area,2.4%,2.7%
Virginia,Fairfax city,Metro area,2.3%,1.2%
South Dakota,Douglas County,Rural area,2.3%,1.4%
